Station Code,Station Name,Longitude,Latitude,Opening Date,Station Type
NS10,ADMIRALTY,103.800990519771,1.44058856161847,1996-02-10,MRT
EW9,ALJUNIED,103.882906044385,1.3164326118157,1989-11-04,MRT
NS16,ANG MO KIO,103.849455226442,1.36942855699191,1987-11-07,MRT
SE3,BAKAU,103.905415300171,1.38799431054768,2003-01-18,LRT
BP9,BANGKIT,103.772647370452,1.38002223010088,1999-11-06,LRT
CC12,BARTLEY,103.880177899184,1.34250117805245,2009-05-28,MRT
CE1 | DT16,BAYFRONT,103.859079764874,1.28187378879209,2012-01-14,MRT
DT5,BEAUTY WORLD,103.775746717778,1.34090149001429,2015-12-27,MRT
EW5,BEDOK,103.957183823478,1.32040148729112,1989-11-04,MRT
DT29,BEDOK NORTH,103.91797832995,1.33474211664091,2017-10-21,MRT
DT30,BEDOK RESERVOIR,103.932234623286,1.33660782955099,2017-10-21,MRT
DT21,BENCOOLEN,103.850353762717,1.29891843369422,2017-10-21,MRT
DT23,BENDEMEER,103.862977620945,1.31367252847691,2017-10-21,MRT
NS17 | CC15,BISHAN,103.84914026532,1.35131580146658,1987-11-07,MRT
NE9,BOON KENG,103.862052698446,1.31993957653291,2003-06-20,MRT
EW27,BOON LAY,103.706084900902,1.33861033900695,1990-07-06,MRT
CC19 | DT9,BOTANIC GARDENS,103.814984510627,1.32211373558877,2011-10-08,MRT
NS18,BRADDELL,103.846799083148,1.3404690010277,1987-11-07,MRT
CC2,BRAS BASAH,103.850667371637,1.29686168649656,2010-04-17,MRT
TE7,BRIGHT HILL,103.833899206658,1.36384676605097,2021-08-28,MRT
NE15,BUANGKOK,103.893122569706,1.38287001971672,2006-01-15,MRT
EW12 | DT14,BUGIS,103.855706730933,1.30046508509717,1989-11-04,MRT
NS2,BUKIT BATOK,103.749566478309,1.34903331201636,1990-03-10,MRT
NS3,BUKIT GOMBAK,103.751790910733,1.35861159094192,1990-03-10,MRT
DT1 | BP6,BUKIT PANJANG,103.761188866252,1.37956121236613,2015-12-27,MRT
BP6 | DT1,BUKIT PANJANG,103.763102931112,1.37792694616982,1999-11-06,LRT
EW21 | CC22,BUONA VISTA,103.790253514502,1.3072237082044,1988-03-12,MRT
CC17 | TE9,CALDECOTT,103.840161782075,1.33724561271722,2011-10-08,MRT
NS12,CANBERRA,103.829702590959,1.44307664075699,2019-11-02,MRT
DT2,CASHEW,103.76443921414,1.36981544925552,2015-12-27,MRT
CG2,CHANGI AIRPORT,103.98788356959,1.35747897447692,2002-02-08,MRT
SW1,CHENG LIM,103.893797181731,1.39627763344324,2013-01-01,LRT
NE4 | DT19,CHINATOWN,103.845143798953,1.28422391919085,2003-06-20,MRT
EW25,CHINESE GARDEN,103.732766601621,1.34224494823931,1988-11-05,MRT
NS4 | BP1,CHOA CHU KANG,103.744370779756,1.38536316540225,1990-03-10,MRT
BP1 | NS4,CHOA CHU KANG,103.74453769781,1.38475541089131,1999-11-06,LRT
