Mall Name,Longitude,Latitude
100 AM,103.843488359469,1.27468281482263
313@Somerset,103.838500492119,1.30100455918816
321 Clementi,103.764986676365,1.31200212030821
888 Plaza,103.795316064775,1.43711856085535
AMK Hub,103.848493192474,1.36922522142582
Admiralty Place,103.801706470491,1.43938615380542
Alexandra Central,103.805283367958,1.28728320930592
Alexandra Retail Centre,103.801375038176,1.27384263888449
Anchorpoint,103.805607779399,1.28893477974497
Aperia,103.864326436447,1.3097112065077
Balestier Hill Shopping Centre,103.842571612968,1.32559594839311
Beauty World Centre,103.776539385406,1.34241264188642
Beauty World Plaza,103.776259359854,1.34180018619223
Bedok Mall,103.929554495615,1.32611970329469
Boon Lay Shopping Centre,103.712430373455,1.34633552457315
Broadway Plaza,103.845949444498,1.37193729131781
Buangkok Square,103.881623070164,1.38433426615655
Bugis Cube,103.855635339249,1.2981408343975
Bugis Junction,103.855450325604,1.2991371723215
Bugis+,103.854242347489,1.29960368990297
Bukit Panjang Plaza,103.764357180314,1.37992045176243
Bukit Timah Plaza,103.778585430975,1.3386316527745
Canberra Plaza,103.830345369213,1.44349544527985
Capitol Piazza,103.851261982149,1.29307884763132
Cathay Cineleisure Orchard,103.836406753067,1.30149264852924
Causeway Point,103.785795816344,1.43590007901468
Century Square,103.943727694121,1.35227804040128
Changi City Point,103.962946043413,1.33408363820793
City Plaza,103.893508573389,1.31470866320366
City Square Mall,103.856624019991,1.31142103107683
CityLink Mall,103.854173501417,1.2927777312893
Compass One,103.89507054384,1.39205314156706
Djitsun Mall Bedok,103.929554495615,1.32611970329469
Downtown East,103.955598940037,1.37595122154029
Duo,103.85840168774,1.29953434891664
Eastpoint Mall,103.953050756306,1.34269199750599
Elias Mall,103.94233582068,1.37790533095468
Fairprice Hub,103.678409741897,1.32561767765205
Fajar Shopping Centre,103.770868459633,1.38357469942896
Far East Plaza,103.833803262332,1.30738819608479
Funan,103.849989790085,1.29134759697794
Gek Poh Shopping Centre,103.697739629738,1.3487416466288
Grantral Mall,103.765147487482,1.31427043922294
Great World City,103.831975865363,1.2934759620704
Greenridge Shopping Centre,103.766228468185,1.38540569283271
Greenwich V,103.869348049282,1.38736769500018
HDB Hub,103.84984949662,1.33201387005935
HarbourFront Centre,103.818732564507,1.26206336410344
Heartland Mall,103.885167372726,1.35954177325561
HillV2,103.76417292006,1.36267450828024
Hillion Mall,103.76382945872,1.37841165144214
Hougang 1,103.889828868222,1.35664284566921
Hougang Green Shopping Mall,103.88784708944,1.37931783499145
Hougang Mall,103.893788141349,1.37248308734511
IMM,103.746894773008,1.33487526118006
ION Orchard,103.831510144742,1.30419142102398
Jem,103.743278742341,1.33329334473462
Jewel Changi Airport,103.98907755021,1.3603410066102
Jubilee Square,103.847837565378,1.37178558575829
Junction 10,103.76041930548,1.38018163022688
Junction 8,103.848515664081,1.3501820033849
Junction Nine,103.84166098599,1.4331228398318
Jurong Point,103.706685012654,1.33945200436319
Kallang Wave Mall,103.873149707591,1.30307515150401
Katong Shopping Centre,103.901515916971,1.3040973115095
Katong Square,103.904617722414,1.30477683917233
Keat Hong Shopping Centre,103.744393648768,1.37736607441394
Knightsbridge,103.836283923443,1.3029831225958
Leisure Park Kallang,103.876152665088,1.30222177381282
Liat Towers,103.830722581168,1.30508722710852
Limbang Shopping Centre,103.743611063324,1.39222033136152
Lot One,103.745238868238,1.38506992325619
Loyang Point,103.964632225014,1.36707357525622
Lucky Plaza,103.833941935117,1.30448579105197
Marina Bay Link Mall,103.854207695749,1.28019533269189
Marina Bay Sands,103.86079514091,1.28342297945301
Marina Square,103.857048715656,1.29159480494333
Marsiling Mall,103.77988189197,1.43354318137534
Midpoint Orchard,103.838659652851,1.30177313264942
Millenia Walk,103.860302888543,1.29267926922552
NEX,103.872296143862,1.35076935257845
Ngee Ann City,103.834899517575,1.3022727300848
Northpoint City,103.836177650973,1.42790288991304
Northshore Plaza,103.902074379502,1.41676127156324
Oasis Terraces,103.913215101343,1.40278015725693
One Holland Village,103.793301226982,1.3123621720005
Orchard Central,103.839434733899,1.30083890839245
Orchard Gateway,103.838868886519,1.30160116957544
Orchard Plaza,103.841150144584,1.30125729409965
Our Tampines Hub,103.940381104547,1.35354740485205
Palais Renaissance,103.829588045188,1.30665484543191
Parkway Parade,103.905281816778,1.30115259939855
Pasir Ris West Plaza,103.936270775161,1.37969802061042
Paya Lebar Square,103.892580778242,1.31881486980278
People's Park Centre,103.843861556498,1.28564781446701
People's Park Complex,103.842519972666,1.28413397178419
Pioneer Mall,103.697174842118,1.34169239214292
Plaza Singapura,103.845072925117,1.30083497231103
Punggol Plaza,103.913120037036,1.39417447299355
Queensway Shopping Centre,103.803391140455,1.28761792586115
Raffles City,103.853339531257,1.29408304748297
Rail Mall,103.768137724847,1.35773050150178
Rivervale Mall,103.904473070943,1.39221732695142
Rivervale Plaza,103.901988424927,1.38550420775531
Rochester Mall,103.788446680148,1.30540765569962
Roxy Square,103.904051120306,1.30432599904899
Scotts Square,103.833059609864,1.30580609670053
Sembawang Shopping Centre,103.824970378482,1.44185307934021
Sengkang Grand Mall,103.892377573338,1.38318916340582
Sim Lim Square,103.853038663425,1.30302298414827
Singapore Shopping Centre,103.844628721032,1.28649701803051
Singpost Centre,103.894894915962,1.31899666903663
Square 2,103.850812513482,1.27822949964567
Sun Plaza,103.819464386349,1.44819436804175
