resale_price,remaining_lease
232000,61
250000,60
262000,62
265000,62
265000,62
275000,63
280000,61
285000,58
285000,61
285000,61
288500,62
295000,59
295000,59
297000,59
298000,62
298000,60
300000,61
301000,62
306000,61
312000,62
312000,60
321000,59
325000,61
325000,59
328000,61
330000,60
330000,63
335000,59
338000,63
366000,62
373000,60
375000,62
390000,62
400000,61
400000,61
403000,63
410000,63
425888,61
430000,59
435000,61
435000,62
440000,62
460000,58
518000,59
518000,62
560000,60
688000,93
730000,93
756000,93
500000,60
668000,61
668000,62
725000,62
770000,93
832000,94
888000,78
238000,60
272000,62
278000,60
280000,62
280000,58
281000,70
285000,63
285000,63
287000,67
290000,61
290000,68
293000,62
300000,68
300000,68
300000,58
300000,56
300000,67
301888,67
305000,59
310000,63
310000,67
310000,63
310000,66
312000,60
312000,58
312000,65
313000,63
332000,61
336000,60
358000,61
360000,67
365000,62
350000,69
350000,59
350000,59
358000,59
358000,58
375000,58
380000,60
382000,60
384000,69
385000,69
390000,60
392000,68
395000,68
395000,60
410000,62
412000,62
420000,64
425000,60
430000,60
430000,66
480000,83
499000,83
580000,87
625000,71
671000,92
485000,64
530000,54
550000,78
604000,60
610000,82
610000,75
633000,66
660000,66
795000,92
668000,75
670000,68
725000,75
730000,75
275000,55
320000,68
395000,67
380000,70
475000,70
510000,68
513000,69
520000,69
530000,67
533000,68
583000,69
625000,74
808000,93
650000,74
658740,69
700000,72
728888,68
730000,69
760000,67
830000,93
888000,74
895000,68
255000,69
255000,69
260000,66
260000,69
260000,69
269000,66
270000,67
275000,67
278000,66
280000,67
280000,68
285000,67
285000,66
285000,67
285000,66
292000,80
300000,67
300000,69
300188,66
303000,66
305000,66
315000,67
335000,66
338000,67
350000,69
358000,80
375000,67
380000,67
395000,80
408000,86
410000,71
411000,71
430000,67
430000,67
440000,86
440000,86
440000,79
450000,65
450000,67
455000,86
456000,67
465000,79
500000,79
495000,80
664000,66
680000,67
800000,79
218000,53
230000,53
245000,58
300000,53
295000,57
300000,52
300000,58
302000,58
313000,61
322000,58
333000,51
338000,58
340000,61
340000,58
350000,56
353000,58
363000,58
365000,53
378000,64
385000,60
400000,55
405000,61
580000,95
635000,55
637000,55
638000,55
650000,95
395000,52
458000,57
470000,57
510000,67
530000,66
550000,58
575000,82
575000,79
585000,79
595000,67
608000,79
648000,95
680000,95
688000,95
690000,90
690000,87
722000,87
735000,90
748000,90
790000,95
865000,95
470000,57
580000,82
595000,68
655000,81
680000,66
725000,60
740000,56
820000,65
266000,70
276000,70
298000,71
325000,94
318000,80
320000,83
326000,70
330000,71
330000,81
330000,83
335000,70
335000,70
340000,85
343000,70
345000,85
354000,81
355000,80
355000,69
356000,69
360000,80
365000,83
370000,83
380000,81
408000,86
410000,94
438000,79
405000,71
405000,84
415000,70
425000,80
430000,81
442000,70
460000,70
475000,84
475000,83
506800,81
512000,80
520000,80
540000,80
555000,79
570000,83
620000,81
495000,83
565000,70
592000,70
670000,70
890000,56
876888,70
250000,64
360000,66
400000,68
428000,65
455000,59
470000,61
470000,61
685000,62
788000,93
818000,93
903000,93
1108000,93
273000,71
285000,71
293000,71
316000,82
316000,71
318000,75
325000,85
325000,71
330000,74
340000,81
343000,78
345000,71
345000,72
345000,80
350000,75
353000,75
353000,72
358000,75
358000,74
360000,78
370000,81
375000,75
380000,78
412888,74
420000,80
420000,75
425000,74
443000,75
380000,82
385000,84
390000,85
400000,84
400000,77
408000,77
418000,85
430000,81
435000,75
500000,79
522000,78
512800,82
520000,81
554000,78
560000,81
575000,71
263800,63
270000,63
280000,62
290000,61
326000,63
335000,61
345000,66
348000,61
355000,60
365000,60
368000,62
370000,61
415000,60
425000,63
430000,62
528000,95
385000,62
397000,63
425000,62
440000,65
461000,63
488000,61
548000,60
