School Name,Longitude,Latitude,year
Endeavour Primary School,103.817436231731,1.45403837499301,1970-01-01 00:00:00.000001988
Fengshan Primary School,103.931710293058,1.32980598760785,1970-01-01 00:00:00.000001933
Unity Primary School,103.746822625758,1.40285481877246,1970-01-01 00:00:00.000001999
Nanyang Primary School,103.807750155296,1.32084749904532,1970-01-01 00:00:00.000001917
Concord Primary School,103.736554295636,1.38026516111464,1970-01-01 00:00:00.000002000
Singapore Autism School,103.854690018601,1.3597260661209,1970-01-01 00:00:00.000001888
Fairfield Methodist School (Secondary),103.784099647149,1.30163374395823,1970-01-01 00:00:00.000001999
East Spring Secondary School,103.960640700298,1.35622508992581,1970-01-01 00:00:00.000001999
Zhenghua Primary School,103.769313521752,1.37954887512229,1970-01-01 00:00:00.000001959
Hai Sing Catholic School,103.954957944437,1.37434641160381,1970-01-01 00:00:00.000002000
Kent Ridge Secondary School,103.764889617566,1.30122773426098,1970-01-01 00:00:00.000001999
Canossian School,103.881050911498,1.32685879628177,1970-01-01 00:00:00.000001956
Fuchun Primary School,103.778175192579,1.43063975763573,1970-01-01 00:00:00.000001965
Presbyterian High School,103.843149382823,1.38201194250223,1970-01-01 00:00:00.000001962
Ahmad Ibrahim Secondary School,103.829718690077,1.43605975368804,1970-01-01 00:00:00.000001963
Nan Chiau Primary School,103.891180928186,1.39221149906592,1970-01-01 00:00:00.000001953
Tanjong Katong Girls' School,103.895820094229,1.30821274627283,1970-01-01 00:00:00.000001953
National Institute of Education,103.678735489865,1.34932806078891,1970-01-01 00:00:00.000001950
Junyuan Primary School,103.939327626661,1.34787050871599,1970-01-01 00:00:00.000001988
Lianhua Primary School,103.754165828711,1.35424191127295,1970-01-01 00:00:00.000001961
Queensway Secondary School,103.802207291625,1.30022271592188,1970-01-01 00:00:00.000001961
Telok Kurau Primary School,103.910934011337,1.33104585441349,1970-01-01 00:00:00.000001926
East Spring Primary School,103.961676849165,1.35268400746357,1970-01-01 00:00:00.000001999
Geylang Methodist School (Primary),103.883845744916,1.31759126757284,1970-01-01 00:00:00.000001924
Greenwood Primary School,103.804515180606,1.4401104867196,1970-01-01 00:00:00.000002000
Park View Primary School,103.939541695654,1.37738069854249,1970-01-01 00:00:00.000001997
Henry Park Primary School,103.784296227747,1.31667646178347,1970-01-01 00:00:00.000001977
Temasek Primary School,103.945590669163,1.31770677551333,1970-01-01 00:00:00.000002006
Northlight School,103.85575955353,1.3191002158167,1970-01-01 00:00:00.000002005
NUS High School of Mathematics and Science,103.769365156929,1.30656448055686,1970-01-01 00:00:00.000001933
CHIJ St. Theresa's Convent,103.822440701642,1.27535177510054,1970-01-01 00:00:00.000001929
Rivervale Primary School,103.904559511997,1.39340997767762,1970-01-01 00:00:00.000001994
Peirce Secondary School,103.83021606804,1.36665944653812,1970-01-01 00:00:00.000001994
North View Primary School,103.848190787869,1.42752327193727,1970-01-01 00:00:00.000001963
Swiss Cottage Secondary School,103.750396136688,1.36471742697475,1970-01-01 00:00:00.000001994
Marsiling Primary School,103.773643013846,1.43383904037059,1970-01-01 00:00:00.000001958
Opera Estate Primary School,103.923788259248,1.31931914436255,1970-01-01 00:00:00.000001959
Westwood Secondary School,103.701772102139,1.35373698510994,1970-01-01 00:00:00.000002000
Singapore Institute of Technology,103.932354333699,1.34342966240204,1970-01-01 00:00:00.000002009
Yu Neng Primary School,103.932144857355,1.33388930344069,1970-01-01 00:00:00.000001935
ITE College West (Balestier),103.955050784776,1.3343869142524,1970-01-01 00:00:00.000001977
Bedok View Secondary School,103.943776245024,1.32415704029686,1970-01-01 00:00:00.000001977
