School Name,Longitude,Latitude,year
Endeavour Primary School,103.8174362,1.454038375,1988
Fengshan Primary School,103.9317103,1.329805988,1933
Unity Primary School,103.7468226,1.402854819,1999
Nanyang Primary School,103.8077502,1.320847499,1917
Concord Primary School,103.7365543,1.380265161,2000
Singapore Autism School,103.85469,1.359726066,1888
Fairfield Methodist School (Secondary),103.7840996,1.301633744,1999
East Spring Secondary School,103.9606407,1.35622509,1999
Zhenghua Primary School,103.7693135,1.379548875,1959
Hai Sing Catholic School,103.9549579,1.374346412,2000
Kent Ridge Secondary School,103.7648896,1.301227734,1999
Canossian School,103.8810509,1.326858796,1956
Fuchun Primary School,103.7781752,1.430639758,1965
Presbyterian High School,103.8431494,1.382011943,1962
Ahmad Ibrahim Secondary School,103.8297187,1.436059754,1963
Nan Chiau Primary School,103.8911809,1.392211499,1953
Tanjong Katong Girls' School,103.8958201,1.308212746,1953
National Institute of Education,103.6787355,1.349328061,1950
Junyuan Primary School,103.9393276,1.347870509,1988
Lianhua Primary School,103.7541658,1.354241911,1961
Queensway Secondary School,103.8022073,1.300222716,1961
Telok Kurau Primary School,103.910934,1.331045854,1926
East Spring Primary School,103.9616768,1.352684007,1999
Geylang Methodist School (Primary),103.8838457,1.317591268,1924
Greenwood Primary School,103.8045152,1.440110487,2000
Park View Primary School,103.9395417,1.377380699,1997
Henry Park Primary School,103.7842962,1.316676462,1977
Temasek Primary School,103.9455907,1.317706776,2006
Northlight School,103.8557596,1.319100216,2005
NUS High School of Mathematics and Science,103.7693652,1.306564481,1933
CHIJ St. Theresa's Convent,103.8224407,1.275351775,1929
Rivervale Primary School,103.9045595,1.393409978,1994
Peirce Secondary School,103.8302161,1.366659447,1994
North View Primary School,103.8481908,1.427523272,1963
Swiss Cottage Secondary School,103.7503961,1.364717427,1994
Marsiling Primary School,103.773643,1.43383904,1958
Opera Estate Primary School,103.9237883,1.319319144,1959
Westwood Secondary School,103.7017721,1.353736985,2000
Singapore Institute of Technology,103.9323543,1.343429662,2009
Yu Neng Primary School,103.9321449,1.333889303,1935
